question_id,question,answer,p_yes,p_no,confidence,info_utility,collateral_amount,l0_start,l1_start,l0_end,l1_end
16,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",yes,0.2,0.8,0.8,0.54,813433492621134848,6829378464124429312,7174884252996530176,7615288074131442688,6434425004413068288
37,"Will any regulatory body impose penalties on CrowdStrike regarding the software update issue by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,768540040008750336,6713006125431115776,7299263412612062208,6054359726413270016,8093341362956745344
14,"Will CrowdStrike issue a public apology specifically addressing Delta Airlines before December 24th, 2024?",yes,0.8,0.2,0.8,0.54,822740070267325568,7447751901935623168,6579166525037603840,6670130234184115200,7346183399669952000
18,"Will any state in the U.S. introduce legislation targeting obesity reduction specifically to combat Alzheimer's by December 30, 2024?",no,0.2,0.8,0.8,0.54,735303296304110208,7580636800397400064,6463836916369778688,8371473456154892032,5853210937911308288
33,"Will Pierre Gasly beat Esteban Ocon in the Drivers Championship by December 10th, 2024?",yes,0.8,0.2,0.8,0.54,828999865829784832,7603583397009488896,6444329922030162944,6803215557190453248,7202476474262370176
34,"Will any new pharmaceutical treatment targeting visceral fat reduction be approved by the FDA before December 30, 2024?",no,0.2,0.8,0.8,0.54,833559154458933120,6382785525064408064,7676899029049789440,7138454118417912960,6864231272927171584
12,"Will Notre Dame cathedral in Paris reopen to the public on December 31, 2024?",no,0.2,0.8,0.8,0.54,722730382367103360,7718021398376549376,6348777422450127872,8510680928852605824,5757471160019870720
31,"Will Snowflake announce any new security measures or updates in response to the breach before December 8th, 2024?",no,0.2,0.8,0.8,0.54,836011162945628544,6347983720511538176,7718986399046947840,7102133424009088768,6899335322869780480
15,"Will the FBI release a public statement detailing their findings on the Iranian hackers' activities related to the Trump campaign by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,839036884585969664,7770115198421651456,6306212810069199872,6941874941313186816,7058611745997649280
36,"Will the US unemployment rate be above 4% in December 19th, 2024?",no,0.8,0.2,0.8,0.54,839388422701602432,7777211499434802176,6300458718855853056,6947833888026206208,7052557788470717056
32,"Will Keiichi Ishii announce his resignation as leader of Komeito before December 30, 2024?",yes,0.8,0.2,0.8,0.54,843247684796343040,7843818870114099200,6246957102323708928,7003205908492904448,6996795559099138560
20,"Will the Department of Homeland Security announce a restructuring plan by December 30, 2024?",yes,0.2,0.8,0.8,0.54,696917062446403584,7993723958564144128,6129808866805242880,8788569434963169792,5575423891522720768
17,"Will Joe Rogan publicly announce his endorsement of Trump's 2024 presidential campaign before by December 8th, 2024?",yes,0.8,0.2,0.8,0.54,851824891020058880,7998003560152404992,6126528905804374016,7131243675558478848,6871171737959522048
19,"Will the Constitutional Democratic Party of Japan (CDPJ) announce a formal coalition with any other opposition party by December 30, 2024?",yes,0.8,0.2,0.8,0.54,687475014397188864,6094847400418020352,8039577823825300480,5550043078272043008,8828760301308457088
39,"Will Israel conduct another airstrike on Iranian territory by December 30, 2024?",no,0.2,0.8,0.8,0.54,683171818320666752,8137309462365664256,6021646371767063552,8932463230577482112,5485608922773271552
11,"Will any international humanitarian organization announce a new aid package for civilians affected by the fighting in Aleppo before December 8th, 2024?",yes,0.8,0.2,0.8,0.54,864643364823210368,8245212024748660736,5942842931500439552,7336068645260313600,6679326812414428928
13,"Will the Iranian government issue another public denial regarding the hacking allegations against them before December 7th, 2024?",no,0.8,0.2,0.8,0.54,864666039302367744,8247178618240060416,5941425821871740928,7337765842766164992,6677781909367681920
40,"Will the Federal Reserve issue a statement or report addressing the economic impact of inflation on high-income households by December 30, 2024?",yes,0.8,0.2,0.8,0.54,894887798540904192,8930011344563093504,5487115089706233856,7900332515745550336,6202270588274840320
38,"Will a class-action lawsuit be filed against Hot Topic or Robling due to the data breach before December 25th, 2024?",yes,0.8,0.2,0.8,0.54,895125129503478016,8936278530007503872,5483266869476018176,7905482328690592768,6198230286616301568
35,"Will the COP29 summit in Baku result in any new international agreement specifically addressing the Caspian Sea environmental crisis by December 7th, 2024?",no,0.2,0.8,0.8,0.54,601433484607172864,8951406991179005952,5473999791126257664,9735948804205914240,5032894172454160384
16,"Will any Democratic senator join the DOGE Caucus before December 10th, 2024?",yes,0.8,0.2,0.8,0.54,769644123203022848,7615288074131442688,6434425004413068288,6867531894258012160,7135023288493091712
37,"Will any regulatory body impose penalties on CrowdStrike regarding the software update issue by December 24th, 2024?",yes,0.8,0.2,0.8,0.54,759038177274369792,6054359726413270016,8093341362956745344,5466968087276639232,8962920437388041728
14,"Will CrowdStrike issue a public apology specifically addressing Delta Airlines before December 24th, 2024?",yes,0.8,0.2,0.8,0.54,817752649256177152,6670130234184115200,7346183399669952000,5977483578377789440,8197429463001210752
18,"Will any state in the U.S. introduce legislation targeting obesity reduction specifically to combat Alzheimer's by December 30, 2024?",no,0.2,0.8,0.8,0.54,734388467231641984,8371473456154892032,5853210937911308288,9243726193924509056,5300892624037860352
